"Author","Title","Publisher","Date","Pages","Library","Location","Internet (eBooks)","Notes","id"
"Anon.","Bible Stories for the Young in the Words of the Douay Version","NY: T. Kelly","1873-1874","2 v. in 1","B","AU, Marquette",,,276
"Anon.","Biblical Atlas and Scripture Gazetteer","London: Religious Tract Society",1890,"100 pp.","A,B,C","AU, Fuller, GTU","Hathi",,277
"Anon.","Cheering Words for the Master's Workers","NY: A.D.F. Randolph & Co.",1872,"386 pp.","A","LC, AU",,,278
"Anon.","Church Missionary Work","Warburton, Victoria, Australia: Signs Pub. Assn.,Ltd.","c.1907","42 pp.","B","WE, SDA",,,279
"Anon.","Church Missionary Work and Duties of Church Officers","Melbourne: Signs Publ. Co. Ltd.",1908,"81 pp.","B","WE, SDA",,,280
"Anon.","Church Psalmist; or, Psalms and Hymns, Designed for the Public, Social, and Private Use ?","NY: M.H. Newman",1849,"656 pp.","C","Harv.","Goo,MOA","(many ed.)",281
"Anon.","Coronations; or the Corruptible and Incorruptible Crown","Boston: Mass. Sabbath School Society",1843,"84 pp.","A","LC",,,282
"Anon.","Eagle Hill; or, Selections in Prose and Verse, Chiefly Original","Phila.: American Sunday School Union",1848,"216 pp.","A","NYPL, Harv, AU","Goo",,283
"Anon.","Eight Lectures on Prophecy from Shorthand Notes","London: W.H. Broom & Rouse",1890,"293 pp.","A,B","WE, AU",,,284
"Anon.","Facts for the Times: Containing Historical Extracts, Candid Admissions ... From Eminent Authors","Battle Creek, Mi: Review & Herald",1893,"329 pp.","B","WE, SDA","Hathi",,285
"Anon.","Gleanings for the Young","British and Foreign Bible Society","1880-1883, 1885-1889, 1893-1898","15 Vols.","B","PUC, AU(incompl.)",,,286
"Anon.","Helps to Bible Study: Containing a Series of Simple Bible Readings...","Battle Creek, Mi.: College Printing Dept.",1886,,"C","WE, SDA",,"(2 copies)",287
"Anon.","Historic Illustrations of the Bible, Principally after the Old Masters","London: Fisher, Son & Co.","1840-1843","4 Vols. in 2","B","AU, BostonPL","Arch (v. 2 only)",,288
"Anon.","Home Scenes; or, Lights and Shadows of the Christian Homes","NY: American Tract Society",1864,"160 pp.","A","Drew, Harv",,"Many other books with title: Lights and Shadows",289
"Anon.","In the World, but Not of the World","NY: Episcopal Sunday School Union",1853,"216 pp.","A","U.Fla, Col.U",,,290
"Anon.","Keepsake of Friendship: a Christmas. . .Annual","Worcester, Mass.: Tucker & Ruggles, etc.","1849-69","7 vols","A",,"Arch",,291
"Anon.","Keepsake, The--annual vols.","London: Hurst, Chase & Co.","1827-1857",,"A",,,,292
"Anon.","Kind Words Awaken Kind Echoes: or, Illustrations of the Power of Kindness","London: T. Nelson & Sons",1858,"240 pp.","A","AU, NYPL",,,293
"Anon.","Kind Words for His Young Friends, by Uncle William","Phila.: Presbyterian Board of Publications",1844,"137 pp.","A","AU","Goo",,294
"Anon.","Kind Words; A Collection of Stories","Boston: Sabbath School Society",1861,,"A","NYPL",,,295
"Anon.","Land of the Sky: Views on the Western North Carolina R.R.","NY: A. Wittemann",1883,"12 pp.","B","AU",,,296
"Anon.","Le Vetement - see Blanc, Alexandre Charles",,,,"B",,,,297
"Anon.","Levensbulden (Levensbeelden) voor Jong en Oud","Family Life Education","19--","223 pp.","B","AU, SDA",,,298
"Anon.","Lights and Shadows of the Reformation","London: Morrish",1875,"236 pp.","A","AU",,"Many other books with title: Lights and Shadows (see Home Scenes)",299
"Anon.","Lives of the Popes, rev. by D.P. Kidder","NY: Carlton & Phillips",1853,"566 pp.","A","AU","Arch",,300
"Anon.","Martha's Home","NY: Thos. Nelson & Son","1870s",,"A","AU","Goo",,301
"Anon.","Mirror of the Soul; or, Spiritual Things Discerned","Auburn, NY: Alden, Beardsley & Co.",1852,"379 pp.","A","AU, UTSva","Goo",,302
"Anon.","Order of Administration of the Sacraments and Other Services for the ...Methodists","London: Wesleyan Methodist Book-Room",1883,"73 pp.","B","WE, Drew",,,303
"Anon.","Outline of Mission Fields Entered by Seventh-day Adventists","Washington, D.C.: Mission Bd. of S.D.A.",1908,"95 pp.","(B)","WE, SDA","Arch",,304
"Anon.","Perfect Love; or, The speeches of Rev. E.L. Janes, et al.","NY: N. Tibbals",1868,"129 pp.","A","LC, AU, Harv.",,,305
"Anon.","Pictures of Hindoo Life; or, India without the Gospel and with the Gospel","Phila.: Presbyterian Board of Publication",1863,"144 pp.","A","AU, Yale, UTSva","Arch",,306
"Anon.","Principles of the Jesuits Developed in a Collection of Extracts from their own Authors","London: J.G. & F. Rivington",1839,"277 pp.","B","WE, AU","Goo","comp. C. Paroissien",307
"Anon.","Select Temperance Tracts","NY: American Tract Society","1860s","ca. 350 pp.","A","PUC","MOA,Gute",,308
"Anon.","Seven Kings of Rome","NY: Scribner, Welford & Armstrong","c.1876",,"A","Harv.","Goo",,309
"Anon.","Springtime: A Magazine for our Young Men and Maidens","London: T. Mitchell","1886-1932","Vols. 1-47","A",,,"Pub. by the Methodist Church",310
"Anon.","Steps in the Dark","Edinburgh: Oliphant",1863,,"A","Biola, GTU",,,311
"Anon.","Sunday Readings; or, the Child's Sabbath Pleasantly and Profitably Employed","Phila.: American Sunday School Union","187?",,"A",,,,312
"Anon.","Temperance Sermons","NY: National Temperance Society",1873,"400 pp.","A","LC, LLU","Goo,MOA",,313
"Anon.","Temperance Tracts","NY: National Temperance Society",1881,,"A","USC",,,314
"Anon.","Temperance Volume, 2 cop.",,,,,,,"This is a title only on the spine. Full title is: Select Temperance Tracts. See Anon.",315
"Anon.","The Advent Keepsake; or,A Text for Each Day","Battle Creek, Mi.: Steam Press",1869,"136 pp.","A","WE, SDA",,,316
"Anon.","The Commentary Wholly Biblical, with Tables Indexes, etc., 2 Vols.","NY: John Wiley & Sons","187?","2 vols.","B","AU","Arch",,317
"Anon.","The Cross-bearer; a Vision","Boston: American Tract Society",1861,"206 pp.","A","AU, NYPL","Goo","By the author of ""Watson's Woods:"" Katherine Kent Child Walker (Mrs. Edward Ashley Walker)",318
"Anon.","The Life and Times of John Wycliffe, the Morning Star of the Reformation","London: Religious Tract Society",1884,"192 pp.","B","AU, Yale","Goo","(1st publ. 1851?)",319
"Anon.","The Moss Rose, A Christmas and New Year's Present, ed. by S.G. Goodrich","NY, Nafis and Cornish","1846-1848","2 Vols.","A",,"Goo","(many editions)",320
"Anon.","The New Life; or Counsels to Inquirers and Converts","NY: American Tract Society",1871,"157 pp.","A","LC, UChicago, Yale","Arch","By John V. Parsons",321
"Anon.","The Old Testament according to the Authorized Version","London: SPCK; NY: Pott, Young & Co.","1875-1880","7 Vols.","C","AU","Goo",,322
"Anon.","The Second Coming, the Judgment, the Kingdom of Christ, being Lectures ... during Lent, 1843","London: J. Nisbet and Co.",1844,"375 pp.","C","AU","Goo",,323
"Anon.","The Wicket Gate: Short Narratives of the Turning of Sinners to God","Boston: American Tract Society",1863,"256 pp.","(A),H","WE, Univ. Ill.",,,324
"Anon.","The Young Ladies Book: a Souvenir of Friendship","London: George Routledge & Co.",1852,"316 pp.","A","Univ.Ill., BYU",,"See Hosmer as a more likely choice for this title.",325
"Anon.","Time of the End Not Yet","London: James Nisbet and Co.",1850,"417 pp.","C","Multnomah",,,326
"Anon.","Which, the Right or the Left","NY: Garrett, Dick, Fitzgerald & Co.",1855,"536 pp.","A","OSU, NYPL","Goo,MOA",,327
"Anon.","Willard Prime","Boston: Tilton & Co.",1864,,"A","AU, OSU, U. Fla.",,,328
"Anon.","Women of Worth: a Book for Girls","NY: W.A. Townsend",1861,"302 pp.","A","Col. U","Goo,Arch","(1872 rev. ed., 278 pp. A, NYPL)",329
"Armitage, Thomas","A History of the Baptists...to the Year 1886","NY: Bryan, Taylor & Co.",1887,"978 pp.","C","AU","Goo",,330
"Arnett, Benjamin W. (ed.)","Centennial Budget ... [for Nov., 1887]","Phila.: African Methodist Episcopal Church",1888,"589 pp.","B","AU, Yale",,,331
"Arthur, Timothy S.","Advice to Young Ladies on Their Duties and Conduct in Life","Phila.: J.E. Potter",1860,"248 pp.","A","NYPL, OSU","Goo",,332
"Arthur, Timothy S.","Advice to Young Men on Their Duties","Phila.: G.G. Evans",1860,"256pp.","A","LC, AU (Micro.), LLU","DBI",,333
"Arthur, Timothy S.","Arthur's Household Library",,,"12 vols","B",,,,334
"Arthur, Timothy S.","Home Lights and Shadows","NY: C. Scribner",1853,,"A","WEa, LC","Arch,DBI","Many other books with title: Lights and Shadows (see Arthur, below)",335
"Arthur, Timothy S.","Steps Towards Heaven; or Religion in Common Life","NY: Derby & Jackson",1858,"103 pp.","A","NYPL, Harv.","Goo,MOA,DBI",,336
"Arthur, Timothy S.","Stories for Parents, Vol.8 of Arthur's Library for the Household","NY: J.W. Lovell",1885,"215 pp.","A","LC, AU","DBI",,337
"Arthur, Timothy S.","The Lights and Shadows of Real Life","Phila.: J.E. Potter & Co.",1867,"507 pp.","A","OSU, NYPL","Arch,DBI","Many other books with title: Lights and Shadows (see Arthur, above)",338
"Arthur, Timothy S.","Woman to the Rescue","Phila.: J.M. Stoddard & Co.","b1874","226 pp.","A","NYPL, AU","Goo,DBI",,339
"Arvine, Kazlitt; Geo. B. Cheever","Cyclopedia of Moral and Religious Anecdotes","NY: Leavitt, Trow, & Co.",1848,"891 pp.","A","NYPL, OSU","Goo","Abridged by G. B. Cheever in 1863 and by N. I. MacLeod in 1891 (4th ed.)",340
"Auberlen, Karl A.","The Prophecies of Daniel and the Revelations of St. John, Viewed in Their Mutual Relation tr., A. Saphir","Edinburgh: T. & T. Clarke, etc.",1856,"458 pp.","C","AU, LLU","Goo",,341
"Aughey, John H.","The Iron Furnace; or, Slavery and Secession","Phila.: J.S. Claxton",1863,"206 pp.","B","AU, LLU (Micro.)","MOA",,342
"Aulard, Francois Victor Alphonse","Le Culte de la Raison et le Culte de L'Etre Supreme (1793-1794)","Paris: F. Alcan",1892,,"B","AU (Micro.)","Arch",,343
"Austin, David, ed.","The Millenium; or, The Thousand Years of Prosperity","Elizabethtown, N.J.: S. Kollock",1794,"426 pp.","C","LC, WE, LLU","Goo",,344
"Austin, John M.","Golden Steps to Respectability, Usefulness, and Happiness","Auburn, NY: Derby, Miller & Co.",1852,"243 pp.","A","AU, LC, OC","Goo,Arch",,345
"Austin, John M.","Voice to Youth Addressed to Young Men and Ladies","NY: J. Balles",1847,"391pp.","A","LC, UTSva","Goo",,346
"Avery-Stuttle, L.D., et al","Selections for our Little Folks","Mountain View, Cal.: Pacific Press Publ. Assoc.","c.1909","260 pp.","B","WE, SDA",,,347
"Avrillon, Jean Baptiste Elie","A Guide for Passing Advent Holily,...","London: J. Burns",1844,"285 pp.","C","Loyola","Goo",,348
"Ayres, Alfred","The Verbalist - see Osmun, Thomas E.",,,,,,,"Alfred Ayres is a pseudonym",349
"Bacon, Leonard W.","An Inside View of the Vatican Council","NY: American Tract Society","n.d.","250 pp.","C","WE, AU, LSU","Arch",,350
"Bagster, Walter W.","Letters of the Rev. Walter W. Bagster of the West Central African Mission","Boston: American Board ... for Foreign Missions",1883,"19 pp.","B","Harv.",,,351
"Bailey, Henry T.","Blackboard in the Sunday School","Boston: W.A. Wilde Co",1899,"131pp.","A","LC, GTU, DTS","Goo","This is probably NOT the one owned by EGW.",352
"Baillie, John","Life Studies: or How to Live","London: Seeley, Jackson & Halliday",1857,"373pp.","A","LC, AU","Goo",,353
"Bainbrigge, William H.","Early Education","London: J. Nisbet & Co.",1881,"200 pp.","A","WE, Yale, Harv.","Goo",,354
"Baird, Robert","Sketches of Protestantism in Italy","Boston: B. Perkins & Co.",1845,"418 pp.","C","WE, AU, LLU, LSU","Goo","(2 copies)",355
"Baker, Harriette N., (pseudonym, ""Mrs. Madeline Leslie"")","Every Day Duties; or the Schoolmates","Boston: Henry Hoyt",1864,,"A","Harv., Kent State","Goo",,356
"Baker, Josephine T., ed.","Ten Thousand Words: How to Pronounce Them","Evanston, Chicago: The Correct English Publ. Co.",1905,"162 pp.","C",,"Hathi",,357
"Baker, Ray S.","Following the Color Line","NY: Doubleday, Page & Co.",1908,,"S","AU","Goo",,358
"Baldwin, Joseph","School Management and School Methods","NY: D. Appleton & Co.",1899,"395 pp.","A","UM, AU","Goo",,359
"Baldwin, Joseph","The Art of School Management","NY: D. Appleton & Co.",1881,"504 pp.","A","UM","Goo",,360
"Ball, C.J.","Light from the East","London: Eyre and Spottiswoode",1899,,"C","WE, AU, LSU","Goo",,361
"Ballou, George D.","Seven Essentials to Life and Health","Los Angeles: Modern Hygiene Pub. Co.",1909,"421 pp.","B","SDA","Goo",,362
"Barker, Charles C.","Hymns of the Morning; Designed for the Use of God's People","Concord, NH.: C.W. Sargent",1873,"145 pp.","A","AU","Goo",,363
"Barker, Joseph","Modern Skepticism: A Journey through the Land of Doubt and Back Again; a life story","Phila.: Smith, English & Co.",1874,"448 pp.","C","AU","MOA",,364
"Barnes, Albert","Notes Critical, Explanatory, and Practical on the Book of the Prophet Isaiah","NY: George A. Leavitt",1869,"2 Vols.","C","WEa, AU, LSU","Goo","(many editions)",365
"Barnes, Albert","Notes, Explanatory and Practical, on the Acts of the Apostles, ed. I. Cobbin","London: W. Tegg & Co.",1847,"497 pp.","A","WEa, AU, LLU","Goo,DBI",,366
"Barnes, Albert","Notes, Explanatory and Practical, on the Gospels","Glasgow: Blackie & Son",1841,"2 Vols.","A","WEa, AU, LLU","Goo,DBI",,367
"Barnes, Albert","Scenes and Incidents in the Life of the Apostle Paul","Phila.: Zeigler, McCurdy & Co.",1869,"496 pp.","B","LC, AU, LLU, LSU","Goo",,368
"Barnum, Samuel W.","Romanism As It Is; An Exposition of the Roman Catholic System","Hartford, Conn.: Conn. Publ. Co.",1871,"753 pp.","B","WE, AU, LLU, LSU","Goo",,369
"Bartlett, W. T.","Friendly Talks on Vital Topics","Stanborough Park: International Tract Society","n.d.","200 pp.","(B)","WE, SDA",,,370
"Bartlett, William H.","Facts I Ought to Know About the Government of My Country","NY: T.Y. Crowell",1894,"158 pp.","B","LC, AU, LSU","Goo",,371
"Bartlett, William H., et al","Syria, the Holy Land, Asia Minor ... Illustrated, Parts I, II, III","London: Fisher, Son & Co.","1836-1838",,"B","UM, AU","Goo",,372
"Bassett, Francis Tilney","The Book of the Prophet Hosea","London: W. Macintosh",1869,"91 pp.","C","UCLA, Biola","Goo","Only three U.S. libraries have this.",373
"Bate, John","Aids to Spiritual Life: Day by Day","London: Jarrold and Sons","n.d.","414 pp.","B,H","WE, Drew, Cal. Bapt.",,,374
"Bates, Lizzie","Woman: Her Dignity and Sphere. By a Lady.","NY: American Tract Society",1870,"303 pp.","A","LC","MOA",,375
"Bauhofer, Jano G.","History of the Protestant Church in Hungary, from the Beginning of the Reformation to 1850, tr. J. Craig","Boston: Philips, Sampson and Co.",1854,"559 pp.","B","LC, AU","Goo",,376
"Baxter, Michael P.","Coming Wonders","Phila.: J.B. Lippincott & Co.",1867,"447pp.","A,H","WE, AU","Goo",,377
"Baxter, Richard","A Call to the Unconverted to Turn and Live","NY: American Tract Society",1831,"176 pp.","A","WEa, AU, LLU, LSU","Goo","(2 copies)",378
"Baynes, Robert H., ed.","Illustrated Book of Sacred Poems","London: NY, Cassell, Petter, & Galpin",1867,"392 pp.","B","WE, AU","Arch",,379
"Beard, Augustus F.","A Crusade of Brotherhood","Boston: Pilgrim Press",1972,,"S","LC, AU","Goo","(reprint of 1909 ed.)",380
"Beckett, Sir Edmund","Should the Revised New Testament Be Authorised? - see Grimthorpe, Edmund Beckett",,,,,,,,381
"Beecher, Catherine and Harriet B. Stowe","The American Woman's Home","NY: J.B. Ford, & Co.",1869,"500 pp.","A","LC, AU, LLU, LSU","Goo",,382
"Beecher, Charles","Redeemer and Redeemed; An Investigation of the Atonement and of Eternal Judgment","Boston: Lee and Shepard",1864,"357 pp.","B,H","WE, AU (Micro.)","Goo",,383
"Beecher, Henry Ward","Morning and Evening Exercises, ed. by Lyman Abbott","NY: Harper & Bros.",1871,"560 pp.","A","UTSva, Princeton","MOA",,384
"Beecher, Henry Ward","One Thousand Gems","London: Hodder and Stoughton",1870,"520 pp.","A","Berkeley, Col.U","Hathi",,385
"Belcher, Joseph, comp.","George Whitefield: A Biography, with Special Reference to his Labors in America","NY: American Tract Society",1857,"514 pp.","A,H","WE","MOA","(2 copies)",386
"Belem,","Belem's Spanish Phrase Book - see Bossut, Abbe Belem",,,,"B",,,,387
"Bell, Goodloe H.","Bible Lessons for Children - see Progressive Bible Lessons for Children",,,,,,,,388
"Bell, Goodloe H.","Bible Lessons for Youth - see Progressive Bible Lessons for Youth","[SDA]",,,"B",,,"(2 copies)",389
"Bell, Goodloe H.","Guide to Correct Language","Battle Creek, Mi.: G.H. Bell",1882,"98 pp.","C","SDA","Goo",,390
"Bell, Goodloe H.","Progressive Bible Lessons for Children: To Be Used in Sabbath Schools and Families","Battle Creek, Mi.: Steam Press",1872,"221 pp.","B","SDA, WE",,"(Also 1875, 320 pp.)",391
"Bell, Goodloe H.","Progressive Bible Lessons for Youth: To Be Used in Sabbath Schools, ... and Families","Battle Creek, Mi.: Steam Press",1875,"320 pp.","B","SDA",,,392
"Belsey, Francis F.","The Bible and the Blackboard: Scripture Lessons for Eye and Ear","London: Sunday School Union",1896,"128 pp.","C","United Libr., Emory",,,393
"Ben Ezra, Rabbi","see Lacunza, Manual",,,,,,,"Rabbi Ben Ezra is a pseudonym",394
"Benefield, Sebastian","A Commentary or Exposition upon the Three First Chapters of the Prophecies of Amos","London: J. Haviland",1629,,"C","Harv.",,,395
"Bengel, Johann A.","Memoir of the Life and Writings of John Albert Bengel - see Burk, J.C.F.",,,,,,,,396
"Bengel, Johann A.","The Critical English Testament, Being an Adaptation of Bengel's Gnomen, ed., W.L. Blackley and James Hawes","London, NY: A. Strahan","1866-69","3 Vols.","C","AU","Arch",,397
"Besser, Wilhelm F.","St. Paul the Apostle: A Biblical Portrait and a Mirror..., tr. Frederic, Bultmann","NY: Robert Carter and Brothers",1864,"210 pp.","B","WE, AU, LSU","Arch",,398
"Bible","The Eversley Edition: The Holy Bible, Containing the Old and New Testaments","London, NY: Macmillan","1897-1898","8 vols.","C","UM, UTS",,"Introd. written by J.W. Mackail; this Bible called the ""Eversley edition.""",399
"Bible Society","American Bible Society Annual Report",,1912,,"B",,,,400
"Bible Society","Bible Society Gleanings",,"1899-1902, 1904-1912","13 Vols.","B",,,,401
"Bible Society","Gleanings for the Young","British and Foreign Bible Society","1880-1883, 1885-1889, 1893-1898","15 Vols.","B",,,,402
"Bible Society","Gleanings for the Young, British and Foreign Bible Society",,"1880-1883, 1885-1889, 1893-1898","15 Vols.","B",,,,403
"Bible Society","Reports of the British and Foreign Bible Society",,"1805-1880, 1869-1880","34 Vols.","B",,,,404
"Bible Society","Reports of the British and Foreign Bible Society",,"1805-1880, 1869-1902, 1904-1912","13 Vols.","B",,,,405
